"abbr","old_query","new_query","tree_has","relfrq"
"Ahtsph","Nephromopsis_sphaerosporella","Ahtiana_sphaerosporella",1,0.01437
"Aleims","Alectoria_imshaugii","Alectoria_imshaugii",1,0.04433
"Alelat","Alectoria_lata","Alectoria_lata",0,0.00031
"Alesar","Alectoria_sarmentosa","Alectoria_sarmentosa",1,0.16111
"Alevan","Alectoria_vancouverensis","Alectoria_vancouverensis",1,0.00494
"Anapal","Anaptychia_palmulata","Anaptychia_palmulata",0,0.01344
"Anzcol","Anzia_colpodes","Anzia_colpodes",1,0.00093
"Brcpse","Bryocaulon_pseudosatoanum","Bryocaulon_pseudosatoanum",0,0.00803
"Brybic","Bryoria_bicolor","Bryoria_bicolor",1,0.02193
"Brycap","Bryoria_capillaris","Bryoria_capillaris",1,0.07584
"Brycar","Bryoria_carlottae","Bryoria_carlottae",0,0.00587
"Brycer","Bryoria_cervinula","Bryoria_cervinula",0,0.00649
"Bryfre","Bryoria_fremontii","Bryoria_fremontii",1,0.07615
"Bryfri","Bryoria_friabilis","Bryoria_friabilis",0,0.00973
"Bryfur","Bryoria_furcellata","Bryoria_furcellata",1,0.0295
"Bryfus","Bryoria_fuscescens","Bryoria_fuscescens",1,0.14612
"Brygla","Bryoria_glabra","Bryoria_glabra",1,0.02873
"Bryimp","Bryoria_implexa","Bryoria_implexa",1,0.00124
"Brylan","Bryoria_lanestris","Bryoria_lanestris",1,0.00741
"Brynad","Bryoria_nadvornikiana","Bryoria_nadvornikiana",1,0.00633
"Brypik","Bryoria_pikei","Bryoria_pikei",0,NA
"Brypsc","Bryoria_pseudocapillaris","Bryoria_pseudocapillaris",0,0.00031
"Brypse","Bryoria_pseudofuscescens","Bryoria_pseudofuscescens",0,0.05267
"Brysim","Bryoria_simplicior","Bryoria_simplicior",1,0.01483
"Bryspi","Bryoria_spiralifera","Bryoria_spiralifera",0,0.00031
"Brysub","Bryoria_subcana","Bryoria_subcana",1,0.00046
"Bryten","Bryoria_tenuis","Bryoria_tenuis",1,0.01684
"Brytri","Bryoria_trichodes","Bryoria_trichodes",1,0.05267
"Bulcon","Bulbothrix_confoederata","Bulbothrix_confoederata",0,0.00062
"Bulgoe","Bulbothrix_scortella","Bulbothrix_scortella",0,0.0088
"Bulisi","Bulbothrix_isidiza","Bulbothrix_isidiza",1,0.00046
"Bullae","Bulbothrix_laevigatula","Bulbothrix_laevigatula",1,0.00077
"Canama","Canoparmelia_amazonica","Canoparmelia_amazonica",0,0.00015
"Canamb","Canoparmelia_amabilis","Canoparmelia_amabilis",0,0.00062
"Cancar","Canoparmelia_caroliniana","Canoparmelia_caroliniana",1,0.03846
"Cancro","Crespoa_crozalsiana","Canoparmelia_crozalsiana",1,0.01437
"Cancry","Canoparmelia_cryptochloro","Canoparmelia_cryptochloro",0,0.00247
"Cansal","Canoparmelia_salacinifera","Canoparmelia_salacinifera",0,0.00031
"Cantex","Canoparmelia_texana","Canoparmelia_texana",1,0.00572
"Cavhul","Hypogymnia_hultenii","Cavernularia_hultenii",1,0.05236
"Cavlop","Hypogymnia_lophyrea","Cavernularia_lophyrea",1,0.02363
"Celcet","Cetrelia_cetrarioides","Cetrelia_cetrarioides",1,0.01421
"Celchi","Cetrelia_chicitae","Cetrelia_chicitae",1,0.00324
"Celoli","Cetrelia_olivetorum","Cetrelia_olivetorum",1,0.01189
"Cetaur","Nephromopsis_aurescens","Ahtiana_aurescens",1,0.00927
"Cetcal","Nephromopsis_tuckermanii","Nephromopsis_tuckermanii",0,0.00355
"Cetchl","Nephromopsis_chlorophylla","Tuckermannopsis_chlorophylla",1,0.15369
"Cetcil","Nephromopsis_ciliaris","Tuckermannopsis_ciliaris",1,0.0346
"Cetcor","Nephromopsis_coralligera","Tuckermanella_coralligera",1,0.00232
"Cetmer","Nephromopsis_merrillii","Kaernefeltia_merrillii",1,0.07337
"Cetoak","Cetraria_oakesiana","Usnocetraria_oakesiana",1,0.0777
"Cetorb","Nephromopsis_orbata","Tuckermannopsis_orbata",1,0.13701
"Cetpal","Cetraria_pallidula","Ahtiana_pallidula",1,0.00973
"Cetpla","Cetraria_platyphylla","Tuckermannopsis_platyphylla",1,0.09469
"Cetsep","Cetraria_sepincola","Cetraria_sepincola",1,0.00371
