generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,1,3,0
3000,2,3,0
4000,1,3,0
5000,2,4,0
6000,2,3,0
7000,1,2,0
8000,3,4,0
9000,2,4,0
10000,1,4,0
11000,1,4,0
12000,2,4,0
13000,2,4,0
14000,1,2,0
15000,1,2,0
16000,1,2,0
17000,1,2,0
18000,2,3,0
19000,1,4,0
20000,1,2,0
21000,2,3,0
22000,3,4,0
23000,1,3,0
24000,2,3,0
25000,1,2,0
26000,1,4,0
27000,2,3,0
28000,3,4,0
29000,1,2,0
30000,3,4,0
31000,1,2,0
32000,1,4,0
33000,1,3,0
34000,2,4,0
35000,3,4,0
36000,2,3,0
37000,3,4,0
38000,3,4,0
39000,1,3,0
40000,1,3,0
41000,1,2,0
42000,2,4,0
43000,1,4,0
44000,2,4,0
45000,1,3,0
46000,3,4,0
47000,2,3,0
48000,2,3,0
49000,1,2,0
50000,1,4,0
51000,1,2,0
52000,2,4,0
53000,2,4,0
54000,2,3,0
55000,1,3,0
56000,2,3,0
57000,2,4,0
58000,2,3,0
59000,3,4,0
60000,1,3,0
61000,2,4,0
62000,2,3,0
63000,1,3,0
64000,2,3,0
65000,1,3,0
66000,1,4,0
67000,2,3,0
68000,2,4,0
69000,1,4,0
70000,1,3,0
71000,2,4,0
72000,3,4,0
73000,1,2,0
74000,2,4,0
75000,2,4,0
76000,3,4,0
77000,3,4,0
78000,3,4,0
79000,1,2,0
80000,2,4,0
81000,1,4,0
82000,1,4,0
83000,1,3,0
84000,1,4,0
85000,1,2,0
86000,2,4,0
87000,2,4,0
88000,1,4,0
89000,3,4,0
90000,3,4,0
91000,1,4,0
92000,2,3,0
93000,2,3,0
94000,3,4,0
95000,3,4,0
96000,3,4,0
97000,2,3,0
98000,3,4,0
99000,1,4,0
100000,3,4,0
101000,1,4,0
102000,2,4,0
103000,3,4,0
104000,2,4,0
105000,1,2,0
106000,2,4,0
107000,3,4,0
108000,2,4,0
109000,1,2,0
110000,1,3,0
111000,1,4,0
112000,3,4,0
113000,1,2,0
114000,2,4,0
115000,1,2,0
116000,1,2,0
117000,3,4,0
118000,2,3,0
119000,1,4,0
120000,1,2,0
121000,1,3,0
122000,2,3,0
123000,1,4,0
124000,1,3,0
125000,2,4,0
126000,1,4,0
127000,3,4,0
128000,2,4,0
129000,1,4,0
130000,1,4,0
131000,1,3,0
132000,2,3,0
133000,1,2,0
134000,1,4,0
135000,2,3,0
136000,3,4,0
137000,2,3,0
138000,2,4,0
139000,2,3,0
140000,1,2,0
141000,1,4,0
142000,3,4,0
143000,1,3,0
144000,2,4,0
145000,2,4,0
146000,1,4,0
147000,1,2,0
148000,1,2,0
149000,2,3,0
150000,3,4,0
151000,1,3,0
152000,1,4,0
153000,1,4,0
154000,2,3,0
155000,3,4,0
156000,1,4,0
157000,2,3,0
158000,1,4,0
159000,2,4,0
160000,2,3,0
161000,1,2,0
162000,1,3,0
163000,3,4,0
164000,1,4,0
165000,2,4,0
166000,1,2,0
167000,3,4,0
168000,2,4,0
169000,1,3,0
170000,3,4,0
171000,1,4,0
172000,2,4,0
173000,2,3,0
174000,1,3,0
175000,1,2,0
176000,1,3,0
177000,1,4,0
178000,1,2,0
179000,1,2,0
180000,2,4,0
181000,2,3,0
182000,1,3,0
183000,1,2,0
184000,2,3,0
185000,1,4,0
186000,1,4,0
187000,1,3,0
188000,3,4,0
189000,2,4,0
190000,3,4,0
191000,1,2,0
192000,1,4,0
193000,1,2,0
194000,2,4,0
195000,2,4,0
196000,1,4,0
197000,1,2,0
198000,1,2,0
199000,2,3,0
200000,2,3,0
201000,2,3,0
202000,1,3,0
203000,1,3,0
204000,1,3,0
205000,1,2,0
206000,2,4,0
207000,2,3,0
208000,1,3,0
209000,1,4,0
210000,1,3,0
211000,3,4,0
212000,1,2,0
213000,3,4,0
214000,1,4,0
215000,3,4,0
216000,1,2,0
217000,1,4,0
218000,1,2,0
219000,2,3,0
220000,3,4,0
221000,3,4,0
222000,2,4,0
223000,3,4,0
224000,2,4,0
225000,3,4,0
226000,1,3,0
227000,2,4,0
228000,1,2,0
229000,2,3,0
230000,2,3,0
231000,1,2,0
232000,3,4,0
233000,2,3,0
234000,2,3,0
235000,1,3,0
236000,1,3,0
237000,2,4,0
238000,1,3,0
239000,2,3,0
240000,3,4,0
241000,2,3,0
242000,3,4,0
243000,2,4,0
244000,1,4,0
245000,1,2,0
246000,1,4,0
247000,1,2,0
248000,2,4,0
249000,1,4,0
250000,1,2,0
251000,3,4,0
252000,2,4,0
253000,2,4,0
254000,1,4,0
255000,1,2,0
256000,2,4,0
257000,1,3,0
258000,1,4,0
259000,1,2,0
260000,2,3,0
261000,1,2,0
262000,3,4,0
263000,1,2,0
264000,1,2,0
265000,3,4,0
266000,1,4,0
267000,2,4,0
268000,1,4,0
269000,2,3,0
270000,3,4,0
271000,2,4,0
272000,1,3,0
273000,2,4,0
274000,2,3,0
275000,1,3,0
276000,1,2,0
277000,1,2,0
278000,1,2,0
279000,3,4,0
280000,1,3,0
281000,1,3,0
282000,2,4,0
283000,1,2,0
284000,3,4,0
285000,3,4,0
286000,2,3,0
287000,1,4,0
288000,2,3,0
289000,1,2,0
290000,1,2,0
291000,1,3,0
292000,1,4,0
293000,1,2,0
294000,3,4,0
295000,1,4,0
296000,1,3,0
297000,1,3,0
298000,1,4,0
299000,1,3,0
300000,1,3,0
301000,2,3,0
302000,1,4,0
303000,3,4,0
304000,1,3,0
305000,1,2,0
306000,1,3,0
307000,1,4,0
308000,1,3,0
309000,1,4,0
310000,1,3,0
311000,3,4,0
312000,2,3,0
313000,2,3,0
314000,1,3,0
315000,1,2,0
316000,1,3,0
317000,2,3,0
318000,1,3,0
319000,2,4,0
320000,1,4,0
321000,2,4,0
322000,1,4,0
323000,1,4,0
324000,2,3,0
325000,1,4,0
326000,1,2,0
327000,3,4,0
328000,2,3,0
329000,1,4,0
330000,1,4,0
331000,1,3,0
332000,1,3,0
333000,2,4,0
334000,2,4,0
335000,3,4,0
336000,1,3,0
337000,1,4,0
338000,1,2,0
339000,2,4,0
340000,2,3,0
341000,3,4,0
342000,1,2,0
343000,1,4,0
344000,2,3,0
345000,2,4,0
346000,2,3,0
347000,2,4,0
348000,1,4,0
349000,1,2,0
350000,1,4,0
351000,3,4,0
352000,2,4,0
353000,1,3,0
354000,1,3,0
355000,2,4,0
356000,3,4,0
357000,1,3,0
358000,3,4,0
359000,2,4,0
360000,1,2,0
361000,1,3,0
362000,1,3,0
363000,3,4,0
364000,2,4,0
365000,1,4,0
366000,1,3,0
367000,1,2,0
368000,1,3,0
369000,1,2,0
370000,1,4,0
371000,2,4,0
372000,2,4,0
373000,2,4,0
374000,2,4,0
375000,2,4,0
376000,2,3,0
377000,2,3,0
378000,1,2,0
379000,3,4,0
380000,1,3,0
381000,1,2,0
382000,2,3,0
383000,1,3,0
384000,1,4,0
385000,1,2,0
386000,1,2,0
387000,1,4,0
388000,3,4,0
389000,1,2,0
390000,3,4,0
391000,3,4,0
392000,3,4,0
393000,1,2,0
394000,1,4,0
395000,2,3,0
396000,1,2,0
397000,2,3,0
398000,1,2,0
399000,2,3,0
400000,2,3,0
401000,1,4,0
402000,1,4,0
403000,3,4,0
404000,2,3,0
405000,2,3,0
406000,2,4,0
407000,3,4,0
408000,2,3,0
409000,2,4,0
410000,3,4,0
411000,1,3,0
412000,1,3,0
413000,1,3,0
414000,1,4,0
415000,1,3,0
416000,1,4,0
417000,3,4,0
418000,2,3,0
419000,2,3,0
420000,2,4,0
421000,1,2,0
422000,2,3,0
423000,1,2,0
424000,1,3,0
425000,2,4,0
426000,1,2,0
427000,1,4,0
428000,2,4,0
429000,2,3,0
430000,3,4,0
431000,3,4,0
432000,2,4,0
433000,1,3,0
434000,2,4,0
435000,1,2,0
436000,2,4,0
437000,1,4,0
438000,1,3,0
439000,1,3,0
440000,1,2,0
441000,1,4,0
442000,2,4,0
443000,1,3,0
444000,1,3,0
445000,1,4,0
446000,1,2,0
447000,1,4,0
448000,2,3,0
449000,1,4,0
450000,1,2,0
451000,2,4,0
452000,3,4,0
453000,2,4,0
454000,2,3,0
455000,2,4,0
456000,2,4,0
457000,1,3,0
458000,3,4,0
459000,1,3,0
460000,3,4,0
461000,2,4,0
462000,3,4,0
463000,2,4,0
464000,2,4,0
465000,2,3,0
466000,2,3,0
467000,1,4,0
468000,2,4,0
469000,2,4,0
470000,1,3,0
471000,2,4,0
472000,1,3,0
473000,1,4,0
474000,1,4,0
475000,1,4,0
476000,1,2,0
477000,1,2,0
478000,3,4,0
479000,3,4,0
480000,1,2,0
481000,1,3,0
482000,2,3,0
483000,1,4,0
484000,1,2,0
485000,1,4,0
486000,3,4,0
487000,1,2,0
488000,1,4,0
489000,2,3,0
490000,1,4,0
491000,3,4,0
492000,3,4,0
493000,1,2,0
494000,1,3,0
495000,2,3,0
496000,1,3,0
497000,3,4,0
498000,2,3,0
499000,2,4,0
500000,2,4,0
501000,1,4,0
502000,1,4,0
503000,1,4,0
504000,1,3,0
505000,2,4,0
506000,2,3,0
507000,1,3,0
508000,2,4,0
509000,3,4,0
510000,3,4,0
511000,2,4,0
512000,1,2,0
513000,1,3,0
514000,1,4,0
515000,3,4,0
516000,1,3,0
517000,2,4,0
518000,2,3,0
519000,1,2,0
520000,3,4,0
521000,1,2,0
522000,2,4,0
523000,2,3,0
524000,3,4,0
525000,1,2,0
526000,3,4,0
527000,3,4,0
528000,3,4,0
529000,1,4,0
530000,2,3,0
531000,1,2,0
532000,2,3,0
533000,2,3,0
534000,1,2,0
535000,3,4,0
536000,1,3,0
537000,2,3,0
538000,1,4,0
539000,2,3,0
540000,2,3,0
541000,3,4,0
542000,3,4,0
543000,1,3,0
544000,1,4,0
545000,3,4,0
546000,1,4,0
547000,3,4,0
548000,1,4,0
549000,2,3,0
550000,2,4,0
551000,1,4,0
552000,1,2,0
553000,1,4,0
554000,2,4,0
555000,1,2,0
556000,3,4,0
557000,2,3,0
558000,3,4,0
559000,1,2,0
560000,3,4,0
561000,1,4,0
562000,1,2,0
563000,1,2,0
564000,1,4,0
565000,1,3,0
566000,3,4,0
567000,1,4,0
568000,2,3,0
569000,3,4,0
570000,2,4,0
571000,2,3,0
572000,1,2,0
573000,1,4,0
574000,2,4,0
575000,1,2,0
576000,3,4,0
577000,2,3,0
578000,3,4,0
579000,2,3,0
580000,2,4,0
581000,2,3,0
582000,2,3,0
583000,2,4,0
584000,1,3,0
585000,3,4,0
586000,1,4,0
587000,2,3,0
588000,2,3,0
589000,2,3,0
590000,1,2,0
591000,1,2,0
592000,1,3,0
593000,1,3,0
594000,1,2,0
595000,3,4,0
596000,3,4,0
597000,1,3,0
598000,2,4,0
599000,3,4,0
600000,3,4,0
601000,3,4,0
602000,1,2,0
603000,1,3,0
604000,1,4,0
605000,1,3,0
606000,1,4,0
607000,1,3,0
608000,2,3,0
609000,3,4,0
610000,1,4,0
611000,2,4,0
612000,1,2,0
613000,2,4,0
614000,2,4,0
615000,2,3,0
616000,1,3,0
617000,1,3,0
618000,2,3,0
619000,1,4,0
620000,1,3,0
621000,2,3,0
622000,1,2,0
623000,1,4,0
624000,2,4,0
625000,1,2,0
626000,1,2,0
627000,2,4,0
628000,2,4,0
629000,1,2,0
630000,2,4,0
631000,1,3,0
632000,2,3,0
633000,1,3,0
634000,2,4,0
635000,1,2,0
636000,2,4,0
637000,1,4,0
638000,1,3,0
639000,1,3,0
640000,1,2,0
641000,2,4,0
642000,1,3,0
643000,1,2,0
644000,2,4,0
645000,2,4,0
646000,2,4,0
647000,2,4,0
648000,2,4,0
649000,1,4,0
650000,1,3,0
651000,2,4,0
652000,3,4,0
653000,3,4,0
654000,1,4,0
655000,2,4,0
656000,1,3,0
657000,2,3,0
658000,1,3,0
659000,2,4,0
660000,1,2,0
661000,2,4,0
662000,1,2,0
663000,1,2,0
664000,1,4,0
665000,1,4,0
666000,1,2,0
667000,1,2,0
668000,2,4,0
669000,2,3,0
670000,2,3,0
671000,1,4,0
672000,1,2,0
673000,1,4,0
674000,2,3,0
675000,2,4,0
676000,1,4,0
677000,1,4,0
678000,1,3,0
679000,1,2,0
680000,3,4,0
681000,2,4,0
682000,3,4,0
683000,2,4,0
684000,1,3,0
685000,1,3,0
686000,2,3,0
687000,3,4,0
688000,2,4,0
689000,3,4,0
690000,1,4,0
691000,2,4,0
692000,3,4,0
693000,1,3,0
694000,3,4,0
695000,2,3,0
696000,1,4,0
697000,1,3,0
698000,1,4,0
699000,1,2,0
700000,3,4,0
701000,2,4,0
702000,1,2,0
703000,1,4,0
704000,1,4,0
705000,3,4,0
706000,3,4,0
707000,2,3,0
708000,1,2,0
709000,1,2,0
710000,1,2,0
711000,2,3,0
712000,2,3,0
713000,3,4,0
714000,1,2,0
715000,2,3,0
716000,2,4,0
717000,2,3,0
718000,3,4,0
719000,1,2,0
720000,2,4,0
721000,1,4,0
722000,2,4,0
723000,1,2,0
724000,2,4,0
725000,3,4,0
726000,1,3,0
727000,3,4,0
728000,1,3,0
729000,1,4,0
730000,1,4,0
731000,1,4,0
732000,2,4,0
733000,1,3,0
734000,2,4,0
735000,1,4,0
736000,1,3,0
737000,3,4,0
738000,1,3,0
739000,1,4,0
740000,1,4,0
741000,1,3,0
742000,1,4,0
743000,2,3,0
744000,1,4,0
745000,1,3,0
746000,3,4,0
747000,1,2,0
748000,1,4,0
749000,1,4,0
750000,2,4,0
751000,1,3,0
752000,1,4,0
753000,2,4,0
754000,2,4,0
755000,2,3,0
756000,2,3,0
757000,1,4,0
758000,1,2,0
759000,2,3,0
760000,2,4,0
761000,2,4,0
762000,1,3,0
763000,2,4,0
764000,3,4,0
765000,1,4,0
766000,1,3,0
767000,1,4,0
768000,2,3,0
769000,2,4,0
770000,1,2,0
771000,1,2,0
772000,3,4,0
773000,1,4,0
774000,1,4,0
775000,2,4,0
776000,2,3,0
777000,1,2,0
778000,1,2,0
779000,2,3,0
780000,1,2,0
781000,1,3,0
782000,1,3,0
783000,3,4,0
784000,1,4,0
785000,1,2,0
786000,1,4,0
787000,1,2,0
788000,2,4,0
789000,1,3,0
790000,3,4,0
791000,1,3,0
792000,2,4,0
793000,2,4,0
794000,1,3,0
795000,3,4,0
796000,1,2,0
797000,2,4,0
798000,1,2,0
799000,2,3,0
800000,3,4,0
801000,1,2,0
802000,1,4,0
803000,3,4,0
804000,3,4,0
805000,2,4,0
806000,3,4,0
807000,1,3,0
808000,3,4,0
809000,1,3,0
810000,1,4,0
811000,2,4,0
812000,1,4,0
813000,2,3,0
814000,1,4,0
815000,3,4,0
816000,2,3,0
817000,1,3,0
818000,1,3,0
819000,2,3,0
820000,1,4,0
821000,1,2,0
822000,1,3,0
823000,1,3,0
824000,1,4,0
825000,2,4,0
826000,1,4,0
827000,1,3,0
828000,1,3,0
829000,2,3,0
830000,1,3,0
831000,3,4,0
832000,2,4,0
833000,3,4,0
834000,3,4,0
835000,3,4,0
836000,1,3,0
837000,1,2,0
838000,1,3,0
839000,2,3,0
840000,1,3,0
841000,3,4,0
842000,1,4,0
843000,3,4,0
844000,1,4,0
845000,1,4,0
846000,1,4,0
847000,3,4,0
848000,2,4,0
849000,1,2,0
850000,2,4,0
851000,1,4,0
852000,2,3,0
853000,2,3,0
854000,1,4,0
855000,2,4,0
856000,2,4,0
857000,1,2,0
858000,1,3,0
859000,1,2,0
860000,1,4,0
861000,1,3,0
862000,1,3,0
863000,1,2,0
864000,3,4,0
865000,2,3,0
866000,3,4,0
