generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-5.99952,-13084.7,34,1
10000,3,-12.675,-12397.3,4.33195,0.546945
20000,2,-12.2851,-12348.2,3.99803,0.5328
30000,7,-24.9095,-12152.6,10.3045,0.5321
40000,9,-31.3914,-12100.5,8.35287,0.5193
50000,14,-43.8346,-12097.3,18.1105,0.522
60000,15,-49.4904,-11838.5,9.86936,0.5149
70000,13,-43.3109,-11731.4,11.803,0.4961
80000,13,-46.6735,-11641.7,15.0419,0.5055
90000,12,-41.8069,-11655.9,7.27626,0.5073
100000,22,-65.5693,-11517.3,21.5797,0.4985
110000,20,-63.7792,-11404.2,19.4465,0.4962
120000,23,-66.8365,-11401.6,31.8308,0.478
130000,20,-69.8138,-11417.5,21.3191,0.4852
140000,17,-55.5284,-11408.8,16.9266,0.4808
150000,20,-61.5806,-11294.9,20.4246,0.485
160000,21,-63.2745,-11282.7,12.0744,0.4666
170000,28,-84.0881,-11312.6,31.6675,0.4777
180000,19,-65.6668,-11219.4,19.4872,0.4654
190000,30,-86.9511,-11172.9,29.8607,0.4672
200000,20,-73.6582,-11142.2,12.7424,0.4739
210000,22,-64.3913,-11177.8,21.8439,0.4743
220000,25,-79.4596,-11245,32.7369,0.4708
230000,26,-83.0582,-11218.6,18.223,0.4663
240000,27,-76.4683,-11233.9,15.3664,0.473
250000,21,-72.2377,-11239.2,25.7968,0.4721
260000,29,-93.3183,-11249.9,22.07,0.4723
270000,27,-82.8777,-11242.8,32.1453,0.4678
280000,31,-93.2626,-11270.6,34.3286,0.4818
290000,34,-107.469,-11196.2,30.4563,0.4765
300000,21,-69.0276,-11123.9,22.0853,0.4584
310000,31,-90.7969,-11078.6,24.7107,0.469
320000,33,-91.6885,-11067.2,29.7791,0.4565
330000,34,-101.572,-11098.7,37.372,0.4643
340000,36,-101.785,-11079.7,31.1627,0.4631
350000,32,-95.9478,-11043.1,25.7197,0.4641
360000,43,-133.539,-11077.2,53.6123,0.4584
370000,36,-113.487,-11098.7,36.4215,0.4718
380000,38,-110.289,-11091.3,40.157,0.4661
390000,32,-88.4018,-11123.5,33.8687,0.4649
400000,41,-119.375,-11157,35.7748,0.4664
410000,36,-108.172,-11100.8,35.2219,0.4722
420000,36,-100.016,-11103.2,33.759,0.462
430000,29,-88.1458,-11147.4,44.4244,0.4635
440000,31,-89.6526,-11136.1,25.9446,0.4749
