generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-6.65582,-18083.3,34,0
10000,3,-28.9841,-14136.8,4.54735,0.454555
20000,11,-58.4564,-13626.7,8.59134,0.4394
30000,12,-58.5352,-13341.7,16.29,0.4202
40000,12,-57.0678,-13243.9,21.5109,0.4101
50000,8,-40.3544,-13200.1,5.57696,0.3963
60000,12,-52.4109,-12715.5,13.6444,0.3775
70000,14,-57.6045,-12679.5,14.3493,0.3771
80000,12,-60.7597,-12567.8,17.1284,0.3684
90000,16,-73.1631,-12508.7,14.9568,0.3641
100000,14,-67.248,-12515,11.2574,0.3711
110000,14,-61.0062,-12485.9,7.63525,0.3523
120000,10,-63.2366,-12453,8.94865,0.3629
130000,11,-63.7621,-12377.5,9.16967,0.3655
140000,18,-85.3777,-12281.5,19.2602,0.3468
150000,19,-83.0595,-12214.5,15.3607,0.3548
160000,21,-85.716,-12116.7,20.9525,0.3486
170000,21,-91.9143,-12145,18.4277,0.3482
180000,14,-69.7093,-12049.1,16.0239,0.3358
190000,24,-102.308,-11999.5,25.9367,0.3475
200000,25,-103.558,-11976.8,30.3789,0.3445
210000,24,-97.0728,-11920.2,22.995,0.3341
220000,18,-80.1902,-11922.7,19.9241,0.3367
230000,25,-99.1644,-11954.9,31.7053,0.3284
240000,31,-129.21,-11898.8,28.6861,0.3421
250000,28,-111.117,-11934.5,29.5629,0.3414
260000,30,-112.356,-11895.9,29.5999,0.3354
270000,30,-114.699,-11922.6,26.838,0.3291
280000,26,-103.757,-11866.6,33.1989,0.3401
290000,28,-112.714,-11869.5,22.3898,0.3263
300000,31,-119.317,-11838.8,34.9079,0.3341
310000,38,-145.533,-11818.9,44.6929,0.3357
320000,44,-153.799,-11745.3,47.0995,0.3348
330000,41,-152.277,-11678.8,49.4,0.3239
340000,37,-133.725,-11714.8,33.2394,0.3292
350000,42,-148.252,-11709.6,33.9366,0.3227
360000,29,-104.315,-11647.6,22.4727,0.3236
370000,27,-110.241,-11679.1,32.49,0.3217
380000,32,-126.809,-11711.1,30.2411,0.3147
390000,34,-131.312,-11787.1,29.3662,0.3237
400000,29,-100.313,-11727.4,27.4148,0.3266
410000,30,-118.318,-11707.2,41.1261,0.3245
420000,27,-100.005,-11707.6,27.2976,0.3253
430000,33,-122.483,-11706.1,36.7756,0.3174
440000,34,-133.016,-11725,29.2429,0.3168
450000,29,-107.031,-11707.5,30.0453,0.3263
460000,30,-117.46,-11727.7,27.5495,0.3225
470000,38,-139.432,-11715.4,41.1639,0.3288
480000,30,-111.672,-11707.5,34.4174,0.3166
490000,35,-133.079,-11760.7,37.0093,0.3205
500000,38,-137.585,-11728.8,39.2834,0.3227
510000,35,-123.031,-11669.8,48.08,0.3259
520000,38,-128.972,-11641.2,34.4669,0.3191
530000,33,-121.412,-11595,39.9536,0.3192
540000,40,-142.715,-11553,52.3024,0.3238
550000,46,-176.84,-11589.8,49.3489,0.3153
560000,32,-121.971,-11575.8,25.9941,0.3168
570000,40,-149.561,-11547.1,37.0119,0.3166
580000,41,-136.634,-11561.8,55.4739,0.3078
590000,40,-143.197,-11548.8,39.8106,0.3093
600000,47,-162.762,-11615.5,40.4922,0.319
610000,44,-157.163,-11610.5,45.9784,0.3209
620000,36,-125.272,-11579.1,37.1048,0.3199
630000,44,-146.342,-11557.1,42.3555,0.3096
640000,46,-143.81,-11578.5,45.6025,0.3143
650000,35,-120.208,-11603.2,31.7296,0.3121
660000,42,-140.546,-11637.1,35.3254,0.3242
670000,29,-105.657,-11639.7,28.4691,0.313
680000,30,-111.963,-11685.8,33.0777,0.3229
690000,50,-172.492,-11624.2,62.4779,0.3185
700000,37,-132.694,-11624.9,39.4158,0.3159
710000,41,-143.176,-11599,45.1768,0.3123
720000,41,-144.387,-11635.6,35.2185,0.316
730000,29,-108.52,-11581.3,30.9913,0.312
740000,30,-109.016,-11607,25.4528,0.3142
750000,30,-111.48,-11613.5,28.6404,0.3152
760000,34,-127.146,-11613,35.4901,0.3174
770000,32,-121.073,-11601.6,40.3817,0.3269
780000,32,-111.921,-11578.8,32.3855,0.318
790000,34,-128.813,-11618.2,23.945,0.3152
800000,29,-107.071,-11640.7,19.8417,0.309
810000,30,-111.293,-11606.5,30.2836,0.3117
820000,48,-171.5,-11623,64.9659,0.3176
830000,56,-179.119,-11545.6,54.3577,0.3187
840000,49,-165.377,-11570.8,62.4812,0.3108
850000,42,-150.205,-11627.7,41.5164,0.3127
860000,44,-150.219,-11650.9,35.1853,0.3142
870000,42,-153.805,-11625.5,34.0109,0.3253
880000,52,-171.239,-11607.6,49.2508,0.3102
890000,45,-149.346,-11696.3,40.9959,0.3213
900000,46,-153.271,-11689.1,50.0128,0.315
