abbr,species
Ahtsph,Nephromopsis_sphaerosporella
Aleims,Alectoria_imshaugii
Alelat,Alectoria_lata
Alesar,Alectoria_sarmentosa
Alevan,Alectoria_vancouverensis
Anapal,Anaptychia_palmulata
Anzcol,Anzia_colpodes
Brcpse,Bryocaulon_pseudosatoanum
Brybic,Bryoria_bicolor
Brycap,Bryoria_capillaris
Brycar,Bryoria_carlottae
Brycer,Bryoria_cervinula
Bryfre,Bryoria_fremontii
Bryfri,Bryoria_friabilis
Bryfur,Bryoria_furcellata
Bryfus,Bryoria_fuscescens
Brygla,Bryoria_glabra
Bryimp,Bryoria_implexa
Brylan,Bryoria_lanestris
Brynad,Bryoria_nadvornikiana
Brypik,Bryoria_pikei
Brypsc,Bryoria_pseudocapillaris
Brypse,Bryoria_pseudofuscescens
Brysim,Bryoria_simplicior
Bryspi,Bryoria_spiralifera
Brysub,Bryoria_subcana
Bryten,Bryoria_tenuis
Brytri,Bryoria_trichodes
Bulcon,Bulbothrix_confoederata
Bulgoe,Bulbothrix_scortella
Bulisi,Bulbothrix_isidiza
Bullae,Bulbothrix_laevigatula
Canama,Canoparmelia_amazonica
Canamb,Canoparmelia_amabilis
Cancar,Canoparmelia_caroliniana
Cancro,Crespoa_crozalsiana
Cancry,Canoparmelia_cryptochloro
Cansal,Canoparmelia_salacinifera
Cantex,Canoparmelia_texana
Cavhul,Hypogymnia_hultenii
Cavlop,Hypogymnia_lophyrea
Celcet,Cetrelia_cetrarioides
Celchi,Cetrelia_chicitae
Celoli,Cetrelia_olivetorum
Cetaur,Nephromopsis_aurescens
Cetcal,Nephromopsis_tuckermanii
Cetchl,Nephromopsis_chlorophylla
Cetcil,Nephromopsis_ciliaris
Cetcor,Nephromopsis_coralligera
Cetmer,Nephromopsis_merrillii
Cetoak,Cetraria_oakesiana
Cetorb,Nephromopsis_orbata
Cetpal,Cetraria_pallidula
Cetpla,Cetraria_platyphylla
Cetsep,Cetraria_sepincola
Cetsub,Nephromopsis_subalpina
Cetvir,Cetraria_viridis
Cetweb,Nephromopsis_weberi
Claalb,Cladonia_albonigra
Clabac,Cladonia_bacillaris
Clabel,Cladonia_bellidiflora
Clacae,Cladonia_caespiticia
Clacar,Cladonia_carneola
Clacen,Cladonia_cenotea
Clachl,Cladonia_chlorophaea
Clacon,Cladonia_coniocraea
Clacri,Cladonia_cristatella
Clacyl,Cladonia_cylindrica
Cladef,Cladonia_deformis
Cladid,Cladonia_didyma
Clafim,Cladonia_fimbriata
Clafur,Cladonia_furcata
Clagra,Cladonia_grayi
Clamac,Cladonia_macilenta
Clanor,Cladonia_norvegica
Clapar,Cladonia_parasitica
Clapex,Cladonia_peziziformis
Claple,Cladonia_pleurota
Clapyx,Cladonia_pyxidata
Claram,Cladonia_ramulosa
Clarei,Cladonia_rei
Clasqu,Cladonia_squamosa
Classq,Cladonia_squamosa_v_subsquamosa
Clasul,Cladonia_sulphurina
Clatra,Cladonia_transcendens
Claumb,Cladonia_umbricola
Claver,Cladonia_verruculosa
Cndcon,Candelaria_concolor
Cndfib,Candelaria_fibrosa
Cndpac,Candelaria_pacifica
Cocery,Coccocarpia_erythroxyli
Cocpal,Coccocarpia_palmicola
Colcon,Enchylium_conglomeratum
Colcur,Collema_curtisporum
Colfur,Collema_furfuraceum
Colnig,Collema_nigrescens
Colocc,Rostania_occultata
Colsub,Collema_subflaccidum
Dirapp,Dirinaria_applanata
Dircon,Dirinaria_confusa
Dirpic,Dirinaria_picta
Dscint,Dendriscocaulon_intricatulum
Erisor,Erioderma_sorediatum
Essida,Esslingeriana_idahoensis
Evediv,Evernia_divaricata
Evemes,Evernia_mesomorpha
Evepru,Evernia_prunastri
Evscat,Hypotrachyna_catawbiensis
Flabal,Flavoparmelia_baltimorensis
Flacap,Flavoparmelia_caperata
Fpudar,Flavopunctelia_darrowi
Fpufla,Flavopunctelia_flaventior
Fpupra,Flavopunctelia_praesignis
Fpusor,Flavopunctelia_soredica
Fuslac,Fuscopannaria_laceratula
Fusram,Fuscopannaria_ramulina
Hetalb,Heterodermia_albicans
Hetapp,Heterodermia_appalachensis
Hetbar,Heterodermia_barbifera
Hetcas,Heterodermia_casarettiana
Hetech,Heterodermia_echinata
Hetgal,Heterodermia_galactophylla
Hetgra,Heterodermia_granulifera
Hethyp,Heterodermia_hypoleuca
Hetjap,Heterodermia_japonica
Hetleu,Heterodermia_leucomela
Hetobs,Heterodermia_obscurata
Hetrug,Heterodermia_rugulosa
Hetspe,Heterodermia_speciosa
Hetsqu,Heterodermia_squamulosa
Hettro,Heterodermia_tropica
Hphadg,Hyperphyscia_adglutinata
Hphsyn,Hyperphyscia_syncolla
Htrafr,Hypotrachyna_afrorevoluta
Htrcro,Hypotrachyna_croceopustulata
Htrimb,Hypotrachyna_imbricatula
Htrlae,Hypotrachyna_laevigata
Htrliv,Hypotrachyna_livida
Htross,Hypotrachyna_osseoalba
Htrpse,Hypotrachyna_pseudosinuosa
Htrpul,Hypotrachyna_pulvinata
Htrpus,Hypotrachyna_pustulifera
Htrrev,Hypotrachyna_revoluta
Htrroc,Hypotrachyna_taylorensis
Htrsho,Hypotrachyna_showmanii
Htrsin,Hypotrachyna_sinuosa
Htrvir,Hypotrachyna_virginica
Hypapi,Hypogymnia_apinnata
Hypaus,Hypogymnia_austerodes
Hypbit,Hypogymnia_bitteri
Hypcan,Hypogymnia_canadensis
Hypdup,Hypogymnia_duplicata
Hypent,Hypogymnia_enteromorpha
Hypfar,Hypogymnia_farinacea
Hyphet,Hypogymnia_heterophylla
Hypims,Hypogymnia_imshaugii
Hypina,Hypogymnia_inactiva
Hypkro,Hypogymnia_krogiae
Hypocc,Hypogymnia_occidentalis
Hypoce,Hypogymnia_oceanica
Hypphy,Hypogymnia_physodes
Hyppul,Hypogymnia_pulverata
Hyprug,Hypogymnia_rugosa
Hyptub,Hypogymnia_tubulosa
Hypvit,Hypogymnia_vittata
Hypwil,Hypogymnia_wilfiana
Imsale,Imshaugia_aleurites
Imspla,Imshaugia_placorodia
Koebif,Koerberia_biformis
Leisor,Leioderma_sorediatum
Lepars,Leptogium_arsenei
Lepaus,Leptogium_austroamericanum
Lepbre,Leptogium_brebissonii
Lepbur,Leptogium_burnetiae
Lepcel,Scytinium_cellulosum
Lepcor,Scytinium_palmatum
Lepcrt,Leptogium_corticola
Lepcya,Leptogium_cyanescens
Lepfur,Leptogium_pseudofurfuraceum
Leplac,Leptogium_laceroides
Leplic,Scytinium_lichenoides
Lepmil,Leptogium_milligranum
Leppol,Scytinium_polycarpum
Lepsat,Leptogium_saturninum
Lepter,Scytinium_teretiusculum
Letcol,Letharia_columbiana
Letvul,Letharia_vulpina
Lobamp,Lobaria_amplissima
Lobhal,Lobaria_hallii
Loblin,Lobaria_linita
Lobore,Lobaria_oregana
Lobpul,Lobaria_pulmonaria
Lobque,Lobaria_quercizans
Lobrav,Lobaria_ravenelii
Lobret,Lobaria_retigera
Lobscr,Lobaria_scrobiculata
Lpcalb,Leptochidium_albociliatum
Melalb,Melanelixia_albertana
Melele,Melanohalea_elegantula
Melexa,Melanohalea_exasperata
Melexl,Melanohalea_exasperatula
Melgla,Melanelixia_glabratula
Melhal,Melanohalea_halei
Melmul,Melanohalea_multispora
Meloli,Melanohalea_olivacea
Melsar,Melanelixia_subargentifera
Melsel,Melanohalea_subelegantula
Melsep,Melanohalea_septentrionalis
Melsol,Melanohalea_subolivacea
Melsub,Melanelixia_subaurifera
Meltra,Melanohalea_trabeculata
Mensub,Menegazzia_subsimilis
Menter,Menegazzia_terebrata
Myeaur,Myelochroa_aurulenta
Myegal,Myelochroa_galbina
Myemet,Myelochroa_metarevoluta
Nepbel,Nephroma_bellum
Nephel,Nephroma_helveticum
Nepisi,Nephroma_isidiosum
Neplae,Nephroma_laevigatum
Nepocc,Nephroma_occultum
Neppar,Nephroma_parile
Nepres,Nephroma_resupinatum
Niecep,Niebla_cephalota
Nodabb,Nodobryoria_abbreviata
Nodore,Nodobryoria_oregana
Panahl,Fuscopannaria_ahlneri
Pancon,Pannaria_conoplea
Panled,Fuscopannaria_leucostictoides
Panleu,Fuscopannaria_leucosticta
